property,propertyLabel,aliases,dataTypeLabel,constraints,domains,ranges,exampleEntities,relatedProperties,externalIdentifiers,hierarchy,description
http://www.wikidata.org/entity/P364,original language of film or TV show,"original language, created on language, language of the original work, media language",http://wikiba.se/ontology#WikibaseItem,"one-of constraint, conflicts-with constraint, property scope constraint, subject type constraint, allowed-entity-types constraint, value-type constraint",,,,,,language of work or name,"language in which a film or a performance work was originally created. Deprecated for written works and songs; use P407 (""language of work or name"") instead."
http://www.wikidata.org/entity/P400,platform,"platforms, environment, game platform, hardware, computing platform, runtime, published on",http://wikiba.se/ontology#WikibaseItem,"none-of constraint, subject type constraint, conflicts-with constraint, allowed-entity-types constraint, property scope constraint, value-type constraint",,,,,,,"platform for which a work was developed or released, or the specific platform version of a software product"
http://www.wikidata.org/entity/P403,mouth of the watercourse,"flows into, watercourse drain, watercourse ends in, watercourse outflow, tributary of, outflow, drain, outlet, river mouth",http://wikiba.se/ontology#WikibaseItem,"subject type constraint, allowed qualifiers constraint, allowed-entity-types constraint, property scope constraint, value-type constraint, single-best-value constraint",,,,,,,the body of water to which the watercourse drains
http://www.wikidata.org/entity/P449,original broadcaster,"television channel, radio station, TV channel, channel, radio network, network, aired on, airs on, broadcast on, first air channel, original air channel, original channel, original network",http://wikiba.se/ontology#WikibaseItem,"property scope constraint, subject type constraint, conflicts-with constraint, value-type constraint, allowed-entity-types constraint",,,,,,broadcast by,network(s) or service(s) that originally broadcast a radio or television program
http://www.wikidata.org/entity/P463,member of,"band member of, in musical group, member of musical group, membership, of organization",http://wikiba.se/ontology#WikibaseItem,"subject type constraint, allowed-entity-types constraint, value-type constraint, property scope constraint, contemporary constraint, allowed qualifiers constraint",,,,,,part of,"organization, club or musical group to which the subject belongs. Do not use for membership in ethnic or social groups, nor for holding a political position, such as a member of parliament (use P39 for that)"
http://www.wikidata.org/entity/P488,chairperson,"chair, leader, president, chairman, chairwoman, dean, headed by",http://wikiba.se/ontology#WikibaseItem,"value-requires-statement constraint, required qualifier constraint, contemporary constraint, value-type constraint, citation-needed constraint, subject type constraint, property scope constraint, allowed-entity-types constraint",,,,,,"director / manager, significant person","presiding member of an organization, group or body"
http://www.wikidata.org/entity/P495,country of origin,"comes from, originates from, country, place of origin, CoO, origin country",http://wikiba.se/ontology#WikibaseItem,"allowed-entity-types constraint, property scope constraint, conflicts-with constraint, contemporary constraint, value-type constraint, subject type constraint",,,,,,"country, significant place","country of origin of this item (creative work, food, phrase, product, etc.)"
http://www.wikidata.org/entity/P527,has part(s),"has branch, has component, has ingredients, has part or parts, has parts, have part, holonym of, includes, includes part, incorporates, parts, set of, comprised of, has part, has member, contains, has ingredient, contain, formed from, formed out of, ingredients, amalgamation of, assembled from, assembled out of, composed of, consists of, created from, created out of, divided by, had part, has as part, made up of",http://wikiba.se/ontology#WikibaseItem,"none-of constraint, allowed qualifiers constraint, conflicts-with constraint, allowed-entity-types constraint, property scope constraint",,,,,,,"part of this subject; inverse property of ""part of"" (P361). See also ""has parts of the class"" (P2670)."
http://www.wikidata.org/entity/P551,residence,"lives in, address, has resided in, home town, hometown, lived in, place of residence, resided at, resided in, resident in, resident of, home city, living in, residing in",http://wikiba.se/ontology#WikibaseItem,"allowed qualifiers constraint, allowed-entity-types constraint, value-type constraint, citation-needed constraint, contemporary constraint, subject type constraint, property scope constraint",,,,,,location,"the place where the person is or has been, resident"
http://www.wikidata.org/entity/P569,date of birth,"born, DOB, birth date, birth year, birthdate, birthyear, born on, year of birth",http://wikiba.se/ontology#Time,"subject type constraint, allowed qualifiers constraint, conflicts-with constraint, citation-needed constraint, property scope constraint, item-requires-statement constraint, range constraint, allowed-entity-types constraint, single-best-value constraint",,,,,,inception,date on which the subject was born
http://www.wikidata.org/entity/P570,date of death,"DOD, died, dead, death, death date, died on, year of death, date of the end, deathdate",http://wikiba.se/ontology#Time,"citation-needed constraint, conflicts-with constraint, single-best-value constraint, difference-within-range constraint, allowed qualifiers constraint, range constraint, subject type constraint, property scope constraint, allowed-entity-types constraint, item-requires-statement constraint",,,,,,"dissolved, abolished or demolished date, end time",date on which the subject died
http://www.wikidata.org/entity/P571,inception,"broke ground, built, commenced on date, commencement date, composed, constructed, construction date, created in, created in year, created on, created on date, creation date, creation year, date commenced, date constructed, date created, date first created, date formed, date founded, date of commencement, date of creation, date of foundation, date of foundation or creation, date of inception, date of origin, day of inception, dedication date, established on date, first created on, formation date, formed at, formed in year, formed on, formed on date, foundation / creation date, foundation date, founded, founded on, founded on date, inception date, initiated, instantiation date, made in year, made on, time of foundation or creation, time of inception, written on date, year commenced, year created, year established, year founded, year of creation, year of inception, year written, foundation, formation, introduction, formed in, founded in, established, date of establishment, date of founding, establishment date, founding date, introduced, start date, created, first issue, completed, launch date, starting date, installated in, installated on, installation date, initial release date",http://wikiba.se/ontology#Time,"conflicts-with constraint, single-best-value constraint, allowed qualifiers constraint, allowed-entity-types constraint, property scope constraint",,,,,,start time,time when an entity begins to exist; for date of official opening use P1619
http://www.wikidata.org/entity/P576,"dissolved, abolished or demolished date","dissolved, end date, defunct, ended, ceased date, date of demolition, date of dissolution, closed on, closure date, folded, abolished, abolishment date, ceased on, ceased publication, ceased to exist, cessation date, date disbanded, date disestablished, date dissolved, date of cessation, date of termination, defunct date, demise date, demolished, demolition date, destroyed in, disbanded, disbanded on, disestablished, dissolution date, dissolved on date, dissolved or abolished, dissolved, abolished, or demolished, final issue, final year, last issue, publication end date, publication terminal date, razed in, terminal date, terminal issue, terminated on, termination date, time abolished, time dissolved, time of abolishment, time of dissolution, wound up on date, date repealed, repealed date",http://wikiba.se/ontology#Time,"property scope constraint, difference-within-range constraint, subject type constraint, allowed-entity-types constraint, single-best-value constraint",,,,,,end time,"point in time at which the subject (organisation, building) ceased to exist;  see ""date of official closure"" (P3999) for closing a facility, ""service retirement"" (P730) for retiring equipment,  ""discontinued date"" (P2669) for stopping a product"
http://www.wikidata.org/entity/P577,publication date,"was published in, year of publication, initial release, released in, date released, released, release date, launch date, launched, date of publication, air date, airdate, be published during, be published in, broadcast date, date of first publication, date of release, date published, first publication, first published, first released, pubdate, publication time, time of publication, was published during, publication, dop, published, issued, drop date",http://wikiba.se/ontology#Time,"allowed qualifiers constraint, property scope constraint, subject type constraint, conflicts-with constraint, allowed-entity-types constraint, range constraint",,,,,,point in time,date or point in time when a work was first published or released
http://www.wikidata.org/entity/P580,start time,"introduction, from, effective, validity, began, beginning, building date, from date, from time, introduced, join date, join time, joined, since, start date, started in, starting, starttime, valid, effectivity",http://wikiba.se/ontology#Time,"conflicts-with constraint, single-best-value constraint, allowed-entity-types constraint, property scope constraint",,,,,,point in time,time an entity begins to exist or a statement starts being valid
http://www.wikidata.org/entity/P582,end time,"cease date, cease operation, cease time, closed, completed in, dissolved, divorced, end date, enddate, ends, endtime, fall date, left office, stop time, till, until, discontinued, ineffective, abolished, to, invalid, ending, invalidity, ineffectivity",http://wikiba.se/ontology#Time,"conflicts-with constraint, item-requires-statement constraint, property scope constraint, allowed qualifiers constraint, allowed-entity-types constraint, difference-within-range constraint, single-best-value constraint",,,,,,point in time,moment when an entity ceases to exist and a statement stops being entirely valid or no longer be true
http://www.wikidata.org/entity/P585,point in time,"year, date, time, on, when, during, as of, at time, by date, occurred on, time of event, point time",http://wikiba.se/ontology#Time,"property scope constraint, allowed-entity-types constraint, conflicts-with constraint, single-value constraint",,,,,,,"date something took place, existed or a statement was true; for providing time use the ""refine date"" property (P4241)"
http://www.wikidata.org/entity/P607,conflict,"in action, in conflict, participant in conflict, participated in conflict, theater (military), theatre (military), battle, war, military conflict, military engagement, engagement",http://wikiba.se/ontology#WikibaseItem,"allowed-entity-types constraint, value-type constraint, conflicts-with constraint, contemporary constraint, one-of constraint, property scope constraint, subject type constraint",,,,,,participant in,"battles, wars or other military engagements in which the person or item participated"
http://www.wikidata.org/entity/P674,characters,appears in this work,http://wikiba.se/ontology#WikibaseItem,"conflicts-with constraint, allowed-entity-types constraint, value-type constraint, subject type constraint, allowed qualifiers constraint, property scope constraint, inverse constraint",,,,,,,"characters which appear in this item (like plays, operas, operettas, books, comics, films, TV series, video games)"
http://www.wikidata.org/entity/P676,lyricist,"lyrics by, text author, text by, text poet, text writer, words by, writer (of song lyrics), author, songwriter",http://wikiba.se/ontology#WikibaseItem,"conflicts-with constraint, item-requires-statement constraint, subject type constraint, value-type constraint, value-requires-statement constraint, allowed-entity-types constraint, property scope constraint",,,,,,author,author of song lyrics
http://www.wikidata.org/entity/P706,located in/on physical feature,"loc (terr), located on island, located on landform, located on physical feature, located on terrain feature, located on the terrain feature, location (terrain feature), on geographical feature, on natural feature, situated on the island of, landform, geographical region, is on, takes place in, on, terrain feature, is in",http://wikiba.se/ontology#WikibaseItem,"subject type constraint, value-type constraint, property scope constraint, contemporary constraint, allowed-entity-types constraint",,,,,,"location, part of",located on the specified (geo)physical feature. Should not be used when the value is only political/administrative (P131) or a mountain range (P4552).
http://www.wikidata.org/entity/P710,participant,"attendee, belligerents, between, competitor, event participant, has participant, participants, player, suspect, agent, accused, party",http://wikiba.se/ontology#WikibaseItem,"value-type constraint, conflicts-with constraint, subject type constraint, allowed qualifiers constraint, contemporary constraint, allowed-entity-types constraint, property scope constraint, none-of constraint",,,,,,significant person,"person, group of people or organization (object) that actively takes/took part in an event or process (subject).  Preferably qualify with ""object has role"" (P3831). Use P1923 for participants that are teams."
http://www.wikidata.org/entity/P737,influenced by,"role model, inspired by, favorite player, has influence, informed by",http://wikiba.se/ontology#WikibaseItem,"allowed-entity-types constraint, property scope constraint, citation-needed constraint",,,,,,,"the subject (person, idea, etc.) was influenced or inspired by this object entity, e.g. ""Heidegger was influenced by Aristotle"""
http://www.wikidata.org/entity/P740,location of formation,"comes from, formation location, formed in, founded in, from, originates from, place of establishment, place of formation, place of foundation, place of incorporation, source location of group/organisation, place of origin, formation place, land of formation",http://wikiba.se/ontology#WikibaseItem,"contemporary constraint, subject type constraint, conflicts-with constraint, property scope constraint, allowed-entity-types constraint",,,,,,location of creation,location where a group or organization was formed
http://www.wikidata.org/entity/P749,parent organization,"holding company, holding, chapter of, has organizational parent, parent company, owned by (company or organisation), owned by (company or organization), parent agency, parent organisation, parent unit, part of, subsidiary of, superior formation, parent institution",http://wikiba.se/ontology#WikibaseItem,"inverse constraint, value-type constraint, subject type constraint, contemporary constraint, property scope constraint, allowed-entity-types constraint",,,,,,"owned by, part of","parent organization of an organization, opposite of subsidiaries (P355)"
http://www.wikidata.org/entity/P800,notable work,"work, artwork, bibliography, founder of, creator of, works, significance, founded, author of, books by, famous books, famous for, famous works, known for, literary works, major works, notable books, representative of artwork type, representative work, significant works, they created, they designed, they discovered, they invented, they wrote, writer of, wrote, main work",http://wikiba.se/ontology#WikibaseItem,"none-of constraint, allowed-entity-types constraint, property scope constraint, subject type constraint, value-type constraint",,,,,,,"notable scientific, artistic or literary work, or other work of significance among subject's works"
http://www.wikidata.org/entity/P807,separated from,"branched from, broke from, forked from, schism from, seceded from, spin off, split from, spun off, broke off from",http://wikiba.se/ontology#WikibaseItem,"allowed-entity-types constraint, value-type constraint, property scope constraint, subject type constraint",,,,,,,subject was founded or started by separating from identified object
http://www.wikidata.org/entity/P840,narrative location,"set in, setting, narrative set in, playing in, set in location, setting location, takes place in, location of narrative, place of setting, place set in, setting of work, setting place, work set in",http://wikiba.se/ontology#WikibaseItem,"conflicts-with constraint, allowed-entity-types constraint, property scope constraint, value-type constraint, subject type constraint",,,,,,"depicts, significant place",the narrative of the work is set in this location
http://www.wikidata.org/entity/P937,work location,"conducts business at, conducts business in, place of activity, place of employment, work area, work residence, did work at, did work from, does work at, does work from, worked from, working from, works from, stationed at, work site, worksite, location of work, place of work, work place, workplace, worked at, working at, works at, location, active in",http://wikiba.se/ontology#WikibaseItem,"contemporary constraint, value-type constraint, property scope constraint, subject type constraint, allowed-entity-types constraint",,,,,,"location, significant place","location where persons or organisations were actively participating in employment, business or other work"
